class,layer,change_rate,type,rank
"goldfish, Carassius auratus",11,0.30777652978897085,critical,1
"goldfish, Carassius auratus",6,0.04273470044136052,critical,2
"goldfish, Carassius auratus",9,0.041327689886093144,critical,3
"goldfish, Carassius auratus",1,0.0010449975728988314,least_critical,1
"goldfish, Carassius auratus",7,0.010406484603881827,least_critical,2
"goldfish, Carassius auratus",3,0.0180183643102646,least_critical,3
"European fire salamander, Salamandra salamandra",11,0.31127035379409795,critical,1
"European fire salamander, Salamandra salamandra",9,0.04643838882446283,critical,2
"European fire salamander, Salamandra salamandra",6,0.04578139424324035,critical,3
"European fire salamander, Salamandra salamandra",1,0.00237687706947326,least_critical,1
"European fire salamander, Salamandra salamandra",3,0.009196736216545098,least_critical,2
"European fire salamander, Salamandra salamandra",8,0.010838767290115348,least_critical,3
"bullfrog, Rana catesbeiana",11,0.30187636256217953,critical,1
"bullfrog, Rana catesbeiana",4,0.043443602919578495,critical,2
"bullfrog, Rana catesbeiana",6,0.042018449306488126,critical,3
"bullfrog, Rana catesbeiana",1,0.0044833016395569025,least_critical,1
"bullfrog, Rana catesbeiana",3,0.012070618271827704,least_critical,2
"bullfrog, Rana catesbeiana",8,0.014176106452941872,least_critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",11,0.30843489646911626,critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",9,0.04881021857261658,critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",4,0.04452400147914887,critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1,0.006716247200965864,least_critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",3,0.009378206729888927,least_critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",8,0.013513491153717028,least_critical,3
"American alligator, Alligator mississipiensis",11,0.2986145591735839,critical,1
"American alligator, Alligator mississipiensis",4,0.04196247220039362,critical,2
"American alligator, Alligator mississipiensis",6,0.04150071740150452,critical,3
